name,version,license,homepage
"@borewit/text-codec","0.2.1","MIT","https://github.com/Borewit/text-codec#readme"
"@codemirror/autocomplete","6.20.3","MIT",""
"@codemirror/commands","6.10.4","MIT",""
"@codemirror/lang-python","6.2.1","MIT","https://github.com/codemirror/lang-python#readme"
"@codemirror/language","6.12.4","MIT",""
"@codemirror/lint","6.9.7","MIT",""
"@codemirror/search","6.7.1","MIT",""
"@codemirror/state","6.7.1","MIT",""
"@codemirror/theme-one-dark","6.1.3","MIT","https://github.com/codemirror/theme-one-dark#readme"
"@codemirror/view","6.43.8","MIT",""
"@eslint-community/eslint-utils","4.9.1","MIT","https://github.com/eslint-community/eslint-utils#readme"
"@eslint-community/regexpp","4.12.2","MIT","https://github.com/eslint-community/regexpp#readme"
"@eslint/eslintrc","2.1.4","MIT","https://github.com/eslint/eslintrc#readme"
"@eslint/js","8.57.1","MIT","https://eslint.org"
"@floating-ui/core","1.7.4","MIT","https://floating-ui.com"
"@floating-ui/dom","1.7.5","MIT","https://floating-ui.com"
"@floating-ui/utils","0.2.10","MIT","https://floating-ui.com"
"@humanwhocodes/config-array","0.13.0","Apache-2.0","https://github.com/humanwhocodes/config-array#readme"
"@humanwhocodes/module-importer","1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer#readme"
"@humanwhocodes/object-schema","2.0.3","BSD-3-Clause","https://github.com/humanwhocodes/object-schema#readme"
"@ioredis/commands","1.5.0","MIT","https://github.com/ioredis/commands"
"@isaacs/fs-minipass","4.0.1","ISC","https://github.com/npm/fs-minipass#readme"
"@jridgewell/gen-mapping","0.3.13","MIT","https://github.com/jridgewell/sourcemaps/tree/main/packages/gen-mapping"
"@jridgewell/remapping","2.3.5","MIT","https://github.com/jridgewell/sourcemaps/tree/main/packages/remapping"
"@jridgewell/resolve-uri","3.1.2","MIT","https://github.com/jridgewell/resolve-uri#readme"
"@jridgewell/source-map","0.3.11","MIT","https://github.com/jridgewell/sourcemaps/tree/main/packages/source-map"
"@jridgewell/sourcemap-codec","1.5.5","MIT","https://github.com/jridgewell/sourcemaps/tree/main/packages/sourcemap-codec"
"@jridgewell/trace-mapping","0.3.31","MIT","https://github.com/jridgewell/sourcemaps/tree/main/packages/trace-mapping"
"@lezer/common","1.5.2","MIT","https://github.com/lezer-parser/common#readme"
"@lezer/highlight","1.2.3","MIT","https://github.com/lezer-parser/highlight#readme"
"@lezer/lr","1.4.10","MIT",""
"@lezer/python","1.1.19","MIT",""
"@lukeed/csprng","1.1.0","MIT","https://github.com/lukeed/csprng#readme"
"@mapbox/node-pre-gyp","1.0.11","BSD-3-Clause","https://github.com/mapbox/node-pre-gyp#readme"
"@marijn/find-cluster-break","1.0.3","MIT","https://code.haverbeke.berlin/marijn/find-cluster-break"
"@mdx-js/mdx","3.1.1","MIT","https://mdxjs.com"
"@mdx-js/react","3.1.1","MIT","https://mdxjs.com"
"@mediapipe/tasks-vision","0.10.35","Apache-2.0","http://mediapipe.dev"
"@microsoft/tsdoc","0.15.1","MIT","https://tsdoc.org/"
"@napi-rs/canvas","0.1.80 / 0.1.97","MIT","https://github.com/Brooooooklyn/canvas#readme"
"@napi-rs/canvas-win32-x64-msvc","0.1.80 / 0.1.97","MIT","https://github.com/Brooooooklyn/canvas#readme"
"@nestjs/common","10.4.22","MIT","https://nestjs.com"
"@nestjs/config","3.3.0","MIT","https://github.com/nestjs/config#readme"
"@nestjs/core","10.4.22","MIT","https://nestjs.com"
"@nestjs/event-emitter","3.0.1","MIT","https://github.com/nestjs/event-emitter#readme"
"@nestjs/jwt","11.0.2","MIT","https://github.com/nestjs/jwt#readme"
"@nestjs/mapped-types","2.0.5","MIT","https://github.com/nestjs/mapped-types#readme"
"@nestjs/passport","11.0.5","MIT","https://github.com/nestjs/passport#readme"
"@nestjs/platform-express","10.4.22","MIT","https://nestjs.com"
"@nestjs/platform-socket.io","10.4.22","MIT","https://nestjs.com"
"@nestjs/swagger","7.4.2","MIT","https://github.com/nestjs/swagger#readme"
"@nestjs/throttler","6.5.0","MIT","https://github.com/nestjs/throttler#readme"
"@nestjs/websockets","10.4.22","MIT","https://github.com/nestjs/nest#readme"
"@nodable/entities","3.0.0","MIT","https://github.com/nodable/val-parsers#readme"
"@nodelib/fs.scandir","2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master#readme"
"@nodelib/fs.stat","2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master#readme"
"@nodelib/fs.walk","1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master#readme"
"@nuxtjs/opencollective","0.3.2","MIT","https://github.com/nuxt-contrib/opencollective#readme"
"@otplib/core","12.0.1","MIT","https://yeojz.otplib.dev"
"@otplib/plugin-crypto","12.0.1","MIT","https://yeojz.otplib.dev"
"@otplib/plugin-thirty-two","12.0.1","MIT","https://yeojz.otplib.dev"
"@otplib/preset-default","12.0.1","MIT","https://yeojz.otplib.dev"
"@otplib/preset-v11","12.0.1","MIT","https://yeojz.otplib.dev"
"@prisma/client","6.19.2","Apache-2.0","https://www.prisma.io"
"@prisma/config","6.19.2","Apache-2.0","https://github.com/prisma/prisma#readme"
"@prisma/debug","6.19.2","Apache-2.0","https://www.prisma.io"
"@prisma/engines","6.19.2","Apache-2.0","https://github.com/prisma/prisma#readme"
"@prisma/engines-version","7.1.1-3.c2990dca591cba766e3b7ef5d9e8a84796e47ab7","Apache-2.0","https://github.com/prisma/engines-wrapper#readme"
"@prisma/fetch-engine","6.19.2","Apache-2.0","https://www.prisma.io"
"@prisma/get-platform","6.19.2","Apache-2.0","https://www.prisma.io"
"@remix-run/router","1.23.2","MIT","https://github.com/remix-run/react-router#readme"
"@smithy/abort-controller","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/abort-controller"
"@smithy/chunked-blob-reader","5.2.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/chunked-blob-reader"
"@smithy/chunked-blob-reader-native","4.2.1","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/chunked-blob-reader-native"
"@smithy/config-resolver","4.4.6","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/config-resolver"
"@smithy/core","3.22.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/core"
"@smithy/credential-provider-imds","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/credential-provider-imds"
"@smithy/eventstream-codec","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/eventstream-codec"
"@smithy/eventstream-serde-browser","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/eventstream-serde-browser"
"@smithy/eventstream-serde-config-resolver","4.3.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/eventstream-serde-config-resolver"
"@smithy/eventstream-serde-node","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/eventstream-serde-node"
"@smithy/eventstream-serde-universal","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/eventstream-serde-universal"
"@smithy/fetch-http-handler","5.3.9","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/fetch-http-handler"
"@smithy/hash-blob-browser","4.2.9","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/hash-blob-browser"
"@smithy/hash-node","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/hash-node"
"@smithy/hash-stream-node","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/hash-stream-node"
"@smithy/invalid-dependency","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/invalid-dependency"
"@smithy/is-array-buffer","2.2.0 / 4.2.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/is-array-buffer"
"@smithy/md5-js","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/md5-js"
"@smithy/middleware-content-length","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/middleware-content-length"
"@smithy/middleware-endpoint","4.4.12","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/middleware-endpoint"
"@smithy/middleware-retry","4.4.29","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/middleware-retry"
"@smithy/middleware-serde","4.2.9","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/middleware-serde"
"@smithy/middleware-stack","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/middleware-stack"
"@smithy/node-config-provider","4.3.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/node-config-provider"
"@smithy/node-http-handler","4.4.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/node-http-handler"
"@smithy/property-provider","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/property-provider"
"@smithy/protocol-http","5.3.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/protocol-http"
"@smithy/querystring-builder","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/querystring-builder"
"@smithy/querystring-parser","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/querystring-parser"
"@smithy/service-error-classification","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/service-error-classification"
"@smithy/shared-ini-file-loader","4.4.3","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/shared-ini-file-loader"
"@smithy/signature-v4","5.3.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/signature-v4"
"@smithy/smithy-client","4.11.1","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/smithy-client"
"@smithy/types","4.12.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/types"
"@smithy/url-parser","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/url-parser"
"@smithy/util-base64","4.3.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-base64"
"@smithy/util-body-length-browser","4.2.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-body-length-browser"
"@smithy/util-body-length-node","4.2.1","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-body-length-node"
"@smithy/util-buffer-from","2.2.0 / 4.2.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-buffer-from"
"@smithy/util-config-provider","4.2.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-config-provider"
"@smithy/util-defaults-mode-browser","4.3.28","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-defaults-mode-node"
"@smithy/util-defaults-mode-node","4.2.31","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-defaults-mode-node"
"@smithy/util-endpoints","3.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/master/packages/util-endpoints"
"@smithy/util-hex-encoding","4.2.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-hex-encoding"
"@smithy/util-middleware","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/master/packages/util-middleware"
"@smithy/util-retry","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/master/packages/util-retry"
"@smithy/util-stream","4.5.10","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-stream"
"@smithy/util-uri-escape","4.2.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-uri-escape"
"@smithy/util-utf8","2.3.0 / 4.2.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-utf8"
"@smithy/util-waiter","4.2.8","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/util-waiter"
"@smithy/uuid","1.1.0","Apache-2.0","https://github.com/smithy-lang/smithy-typescript/tree/main/packages/uuid"
"@socket.io/component-emitter","3.1.2","MIT","https://github.com/socketio/emitter#readme"
"@standard-schema/spec","1.1.0","MIT","https://standardschema.dev"
"@tailwindcss/node","4.1.18","MIT","https://tailwindcss.com"
"@tailwindcss/oxide","4.1.18","MIT","https://github.com/tailwindlabs/tailwindcss#readme"
"@tailwindcss/oxide-win32-x64-msvc","4.1.18","MIT","https://github.com/tailwindlabs/tailwindcss#readme"
"@tailwindcss/postcss","4.1.18","MIT","https://tailwindcss.com"
"@tensorflow/tfjs","4.22.0","Apache-2.0","https://github.com/tensorflow/tfjs#readme"
"@tensorflow/tfjs-backend-cpu","4.22.0","Apache-2.0","https://github.com/tensorflow/tfjs#readme"
"@tensorflow/tfjs-backend-webgl","4.22.0","Apache-2.0","https://github.com/tensorflow/tfjs#readme"
"@tensorflow/tfjs-converter","4.22.0","Apache-2.0","https://github.com/tensorflow/tfjs#readme"
"@tensorflow/tfjs-core","4.22.0","Apache-2.0","https://github.com/tensorflow/tfjs#readme"
"@tensorflow/tfjs-data","4.22.0","Apache-2.0","https://github.com/tensorflow/tfjs#readme"
"@tensorflow/tfjs-layers","4.22.0","Apache-2.0 AND MIT","https://github.com/tensorflow/tfjs#readme"
"@tiptap/core","3.31.3","MIT","https://tiptap.dev"
"@tiptap/extension-blockquote","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-bold","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-bubble-menu","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-bullet-list","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-code","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-code-block","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-document","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-dropcursor","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-floating-menu","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-font-size","3.0.0-next.3","MIT","https://tiptap.dev"
"@tiptap/extension-gapcursor","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-hard-break","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-heading","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-horizontal-rule","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-italic","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-link","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-list","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-list-item","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-list-keymap","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-ordered-list","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-paragraph","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-placeholder","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-strike","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-text","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-text-align","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-text-style","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extension-underline","3.18.0","MIT","https://tiptap.dev"
"@tiptap/extensions","3.18.0","MIT","https://tiptap.dev"
"@tiptap/pm","3.31.3","MIT","https://tiptap.dev"
"@tiptap/react","3.18.0","MIT","https://tiptap.dev"
"@tiptap/starter-kit","3.18.0","MIT","https://tiptap.dev"
"@tokenizer/inflate","0.4.1","MIT","https://github.com/Borewit/tokenizer-inflate#readme"
"@tokenizer/token","0.3.0","MIT","https://github.com/Borewit/tokenizer-token#readme"
"@types/cors","2.8.19","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/cors"
"@types/debug","4.1.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/debug"
"@types/emscripten","1.41.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/emscripten"
"@types/estree","1.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/estree"
"@types/estree-jsx","1.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/estree-jsx"
"@types/hast","3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/hast"
"@types/json-schema","7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/json-schema"
"@types/jsonwebtoken","9.0.10","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jsonwebtoken"
"@types/katex","0.16.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/katex"
"@types/long","4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/long"
"@types/mdast","4.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/mdast"
"@types/mdx","2.0.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/mdx"
"@types/ms","2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/ms"
"@types/node","20.19.30","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node"
"@types/node-fetch","2.6.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node-fetch"
"@types/offscreencanvas","2019.3.0 / 2019.7.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/offscreencanvas"
"@types/prop-types","15.7.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/prop-types"
"@types/react","18.3.27","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/react"
"@types/react-dom","18.3.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/react-dom"
"@types/seedrandom","2.4.34","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/seedrandom"
"@types/unist","2.0.11 / 3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/unist"
"@types/use-sync-external-store","0.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/use-sync-external-store"
"@types/ws","8.18.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/ws"
